,python-version,libfabric-version,openblas-version,phist-version,cmake-version,mpich-version
kglist3khb52q6emdoumpwjmaxfi7wr2,3.9.2,absent,0.3.18,1.9.2,3.18.3,3.1.2
kks5r2cyzondirwyhylnnkzc6xgunqmu,3.6.0,1.14.0,0.3.17,1.9.5,3.22.1,3.3.1
ksse73paxeqzg66bxok6jx3fipucis4e,3.9.4,absent,0.2.20,1.9.5,3.14.4,3.1.1
ktncvtobws6fhcajsslp5yvs7mlsbpvk,3.7.3,1.6.2,0.3.8,1.4.3,3.16.5,3.2
kulmqzslkfng73ezkieif2htns6zltnh,3.7.10,1.14.0,0.2.17,1.7.5,3.16.3,3.4.2
l23b3pqdvihmvjuwnu7npc6pc4byzqin,3.9.2,1.14.0,0.3.4,1.9.1,3.13.4,3.3.2
l4lwenli7hangecs4z6qrxlgntr2hs44,3.2.6,absent,0.3.18,1.7.2,3.19.7,3.1.3
lbis65w62pbgcivkeecfyyn4ug6pe3mn,3.6.4,absent,0.3.8,1.7.4,3.20.2,3.1.1
lda7cksqsz7nkbp3s5apmlwguo2fjk2s,3.5.3,1.6.2,0.3.13,1.9.0,3.17.0,3.2
le3mgxvhffd2bjys267oj7yeovsxpy52,3.6.8,absent,0.3.7,1.8.0,3.19.7,3.1.1
ljsyoqf6o4krlyfmfbwdkddylryh6cuw,3.6.11,absent,0.2.17,1.7.2,3.19.1,3.1
lpapsbhnydko5sddaz3vpgasq7plls7i,3.7.8,1.14.0,0.3.7,1.9.5,3.13.0,3.4.1
lphmln656nztms2fwl5dfua4p4nthmxd,3.9.0,1.6.2,0.3.6,1.9.5,3.14.5,3.2
ltqtmqgw3ccnvp54bfi2j5vlums7k5vl,3.8.0,absent,0.3.6,1.7.5,3.19.2,3.1
lutswxsnhtgrrzig5navlbpdx5ubjj3q,3.8.9,1.14.0,0.3.4,1.8.0,3.9.2,3.4.1
lz52q2qfghmjviryxu4bey7uz36uexdb,3.7.9,1.14.0,0.2.19,1.7.2,3.16.5,develop
mlcnob2bwgahigqwdpcrbsqnqw55mjdy,3.6.3,1.14.0,0.2.18,1.7.3,3.11.4,develop
mnw547kp3dolzxs5gcfmmtbu7uikqmsj,2.7.12,absent,0.2.15,1.9.4,3.9.4,3.1.2
mtsh6onxyg2d2e4avuhiceg7emul47ru,3.9.2,absent,develop,1.7.4,3.13.2,absent
mysurkxnmgchud5eniirpr6hqpzo35dq,3.7.11,absent,0.2.20,1.9.5,3.15.0,3.1.2
mzu247a2nn43zmnlvhlyyykv7pcin7ze,3.6.6,absent,0.2.15,1.4.3,3.10.0,3.1.3
n6ze53pogjx7im66brmmvdffiopdhtl3,3.6.13,absent,0.3.4,1.9.2,3.13.2,3.1.2
nbf7spffsalbhjyjrtblbklb62l5ct65,3.9.6,absent,0.2.16,1.9.0,3.13.4,3.1.1
nborjheg2jqyfzmek4aiijjasd2u6osb,3.5.9,absent,0.3.9,1.9.0,3.15.2,3.1.3
nef4kddbpxrbtpusxkzlutprvl6qwjkr,3.8.7,1.14.0,0.3.8,1.9.4,3.21.3,3.3.1
nf5e4xa6d2pbz5ujts5a6ygchtvdsvbg,3.5.5,1.14.0,0.3.5,1.7.2,3.14.5,develop
ngqmihf6nbv5mwl24eb73yi3ipgth37r,3.9.1,absent,0.3.13,1.9.4,3.15.7,3.1.2
nhngkhf26vfa7nyuxrloulknmtxqpjf7,3.6.0,absent,develop,1.9.0,3.12.2,3.1.1
nj5r5mb7lvzzmonl4fzcy4fjb6q242uu,3.5.1,1.14.0,0.3.11,1.9.1,3.19.7,3.3
nkvsd5ri2kqwlslfmklhcugviuz4rws7,3.9.5,1.14.0,0.3.12,1.9.0,3.9.4,3.3.1
nlv3gpee3imxscmorj6qca6xv6eagywy,3.5.5,absent,0.2.15,1.6.0,3.9.0,3.1.1
nmwby2b7qkft7r5t2f366aigkzu2u2l3,3.9.4,1.14.0,0.3.6,1.7.3,3.18.3,3.4.2
noquftl6qxlmpzk6ikweogc3yganqhy7,3.8.5,1.14.0,0.2.17,1.9.5,3.18.6,3.3
nqbanr6yu7mlb3z7nb5zlldonbgzubsp,3.8.9,1.6.2,0.3.7,1.7.4,3.16.5,3.2
nugcazuruhfkq3jrghfaruvoyzzd3lbi,3.6.8,1.14.0,0.3.17,1.9.1,3.15.7,3.4.1
nx7hzqualq3o5hhvexd3tas5ydgunqeh,3.5.10,1.6.2,develop,1.9.2,3.17.1,3.2
o4havdcueblbvosbv2rpkeavjuo7p6i4,3.6.12,1.14.0,0.3.15,1.9.5,3.21.1,3.3
o62goaeexpnfclyjqophf7pxbh2rcot6,3.6.0,absent,0.2.19,1.9.3,3.13.5,3.0.4
oawkfgfy677wa4kbdyojzrmnrob7ddw6,3.8.9,absent,develop,1.4.3,3.16.2,3.1.1
obhsdqrizrzzoz76xssdx3i22h5j4v2i,3.6.12,1.14.0,0.3.10,1.9.5,3.18.4,3.4.1
okg2syesapodj42acrqkc5ajedxtp57e,3.6.8,absent,0.3.13,1.9.4,3.17.4,absent
op7vfnlmf2t2crinacagk4k4wu4gij4f,2.7.17,absent,0.2.17,1.9.5,3.13.3,3.1.3
opbwqq7b4jhghohpppse2vdbaivi6mzh,3.9.4,absent,0.3.15,1.9.0,3.19.3,3.1
opgb7oi3wuhkgcawodjjxz4ggxe3m5ws,3.9.6,absent,0.2.18,1.9.4,3.20.0,3.1.1
oqxkyhtvcnpw46w6hp2iuckbbxirdyqa,3.7.10,absent,0.2.19,1.7.4,3.19.0,3.1.2
oruued4ivfpy5l65r6anx7t7oicw5id2,3.8.1,absent,0.3.4,1.8.0,3.8.1,3.1.2
ot4u2bmhxpbbrfrefezybhdk66gifeqm,3.2.6,1.14.0,0.3.9,1.8.0,3.21.3,3.4.1
ow2inobjkprttf5lgrigitw4wf5kaak6,3.6.14,absent,0.3.13,1.9.2,3.15.4,3.0.4
p4r5yxwhpfwqryf2fmhq3uhhwwhlfyx6,3.2.6,absent,0.3.13,1.9.4,3.19.7,3.1.2
pa6rmazqr4o62s4mu2iu36yozmvl7gae,2.7.10,absent,0.3.15,1.4.3,3.12.4,3.1.1
pac7djxfmcslp37bhb2u27b4boiyncpi,3.6.10,1.6.2,0.2.15,1.9.5,3.19.1,3.2.1
pai3yaqfyl5ebn73xcne6xivyxhiqdqa,3.6.5,absent,0.2.17,1.4.3,3.16.9,3.1.3
pbs7iao7nehkvpzwyk2twxg63hhb5svi,3.8.1,1.14.0,0.2.19,1.9.5,3.16.4,3.3
pcrtrtm3e4q65lhqg7hz6tob7m6asbah,3.8.11,absent,0.3.12,1.9.0,3.16.0,3.0.4
pcuktwnogdnb54mofebebavuxzjn63e4,2.7.13,absent,0.3.11,1.6.1,3.18.5,3.1
pdagbmy2yioddm3kw26s76shs2ezyasq,3.5.1,absent,0.2.20,1.9.3,3.17.3,absent
pgykkvxp4kcyhdx6p4cbotdqvd66qeto,3.6.11,absent,0.2.20,1.9.2,3.20.4,3.0.4
ph3r53vkhwiopthb52sfsx2hyh6v3ylg,3.9.6,1.14.0,0.3.14,1.8.0,3.16.7,3.4.1
pi2fqfaltqzewaeqqrzq7x7itd4wzhuy,3.8.9,1.14.0,0.2.15,1.9.1,3.17.3,3.3.1
pinzg4bjb6hlrlr7ehywklx4c6rhgcmc,3.6.0,1.6.2,0.3.4,1.9.4,3.17.5,3.2
pj6hdyedxn7xyduuatmg6jd2fu3e5jd2,3.2.6,1.14.0,0.2.18,1.9.3,3.20.3,3.3.2
pjtj2vuzbjrkqndp2sfa5o2a67ow2m73,3.7.4,1.14.0,0.3.11,1.9.1,3.21.3,3.3.1
pkntbfapu3zk5zsjkeburkfcy7trlzhp,3.6.2,1.6.2,0.2.16,1.9.0,3.15.3,3.2.1
plsqkjfuxjkxpybc7gspi2iwfzt6d2sh,3.5.2,absent,0.3.14,1.9.4,3.14.6,3.1.1
pmknhgi66pjer4f4yfol6hsavb3vu3ll,3.6.1,1.14.0,0.3.18,1.9.0,3.11.3,3.3.1
pqdgpvhmg4drsx6ynjmhccpbjstjujnv,3.8.2,absent,0.3.5,1.7.4,3.13.3,3.1.2
pr2chpthxt5yze3b66vc47m7wx76jhj6,3.5.5,1.14.0,0.3.6,1.9.1,3.14.0,3.3.1
pr5fy22cg57cf4es6t335f7c4hosgwah,3.6.6,absent,0.3.14,1.7.5,3.11.4,3.1
q6h3wcudgdjqr2mz7fekukan3yhu2haj,2.7.14,1.14.0,0.2.16,1.7.4,3.13.5,3.4.1
q7acjnesaq3hbg6y44hwvxykd5ma5egz,3.6.0,1.6.2,0.3.7,1.7.5,3.14.5,3.2
qb4xycob3g3wxngvuoxdougalpl7lnfx,3.8.10,1.14.0,0.3.11,1.6.1,3.16.1,3.4.1
qeevpinkugldxhsxr3bickx2ihizvdlw,3.8.0,absent,0.2.16,1.9.3,3.10.3,3.1
qfg7gitseuuj3jx6mtbkd2owxyt4mhkk,3.6.10,absent,0.3.11,1.9.5,3.14.7,3.1.3
qgrifyo5hmfylquzda7xektsexnavn4w,3.5.5,absent,0.3.5,1.7.2,3.14.6,3.0.4
qgtk4rncojmxdef3fpf5fyj47wbbqwdx,3.5.4,1.14.0,0.2.18,1.4.3,3.20.3,3.3.2
qispzauswq7hr2w4kedmdghpt7e45flb,3.8.8,absent,0.3.15,1.9.3,3.16.7,absent
qk4uuka4nsref2re5z5yhz774bo3bhnt,3.7.2,1.14.0,0.2.19,1.6.1,3.16.4,3.3.2
qt4opmdyo6qdntzmffww6zq2ve4o7fx5,3.5.9,absent,0.3.14,1.9.5,3.21.0,3.1.2
qucnwtpxwpmxwuc27y37nt5fh6wzdkkw,3.4.10,1.6.2,0.2.20,1.9.0,3.21.2,3.2.1
qxnd43bnavgv3meku2t7l7242u4nehs5,3.7.7,absent,0.3.17,1.6.0,3.16.7,3.1.2
qyqawq7m3bu7vcikqmzrvjqne4l7njcy,3.5.8,1.14.0,0.3.9,1.6.0,3.20.0,3.4.1
qzdmwvkqgpna7wkxa42dtl67gloq5tyo,3.2.6,1.14.0,0.3.15,1.9.5,3.11.0,3.4
r3hcrdptl5f3e6bdggwlvay57y3mctfr,3.4.3,1.14.0,develop,1.7.2,3.15.5,3.4
r4sgh6pn3tfyxq3aooo7kk4no5ptbopk,3.4.3,1.6.2,0.2.16,1.9.1,3.19.8,3.2.1
r6dj4es6cejins5fecto4lqhth6k2qku,3.5.1,1.14.0,0.3.14,1.7.5,3.16.3,3.3.2
r6nksenzuzc47fpxnpiedvs76lxlhr67,3.4.10,absent,0.3.18,1.6.1,3.19.6,3.1
r75hdr3pklwd7hdweebsqi7d7rzg6huw,3.5.7,absent,0.3.8,1.9.5,3.12.3,3.1.3
rcgslrwqcisbsidxcu37hre5xuawujb3,3.6.14,absent,develop,1.8.0,3.10.3,3.1
rhxmoprrcytn74kmmo3pv7uz3455mcny,3.7.0,1.6.2,0.3.15,1.9.5,3.18.6,3.2
rhym3ahh5kz3xbyhsi7z6xf7n6d6gznw,3.5.1,1.14.0,0.3.12,1.4.3,3.9.0,3.4.1
ri3lko6blh33wb3wdzhe7znikpvtwvbk,3.5.8,absent,develop,1.7.3,3.19.2,absent
rjxe6qma3ywtc76je7uaw4lmn5c3bdxk,3.7.4,1.6.2,0.2.20,1.7.5,3.19.5,3.2
rk4hn7m4rv5i635f4dtvbwb45r5cdixv,3.6.1,absent,0.2.20,1.9.3,3.9.6,3.1.1
rmjwifwmuzgdefdxfk4mpy5mdscwddjf,3.5.3,absent,0.3.4,1.9.3,3.14.1,3.1.1
rmreezccl7uznazmbllisytqxajvhug3,3.6.6,1.14.0,0.3.17,1.7.3,3.20.4,3.3.1
rtp72thobhdampgz35hhhoxdhdspwoi5,3.6.8,1.14.0,0.3.8,1.9.2,3.14.6,3.3.1
rycrsl43s3qzwt5d7eiw2mngnjb2r6in,3.7.5,1.14.0,0.3.10,1.7.3,3.12.4,3.3.2
rzw76ib7kwffefkahe436nlykwmerw6b,3.8.6,1.14.0,0.3.7,1.6.0,3.18.3,3.3.1
s65wrhzc5ayrod3wnpru2rwh37chrwif,3.9.2,1.14.0,0.3.9,1.9.0,3.15.5,3.4.2
sccm3q4oll7vxabzlq3zjms4zrsswesi,3.6.9,absent,0.2.17,1.6.0,3.13.2,3.1.3
sipaxjj6it5cjrl52mq2x2qvptkznmio,3.6.10,1.14.0,0.3.10,1.9.0,3.12.4,3.4.1
sja2m5ms66h3gukldnnn3yfp2c36lnt5,3.6.10,absent,0.2.18,1.6.1,3.13.4,3.1
snq2pu4ae75xtwva4tllpn4mf2lithh4,3.6.6,absent,0.3.17,1.6.1,3.13.1,3.1.1
snzhso2lxbcosbysd4rab7jfdrsxthgy,3.3.6,1.14.0,0.3.7,1.7.3,3.11.4,3.3
sqtvdrtw2vsljdsb6hy2iathbr42npub,3.9.4,1.6.2,0.3.8,1.9.0,3.19.2,3.2
sv5zh5nke4zgdjrpopp3cib6cqyriggm,3.8.10,1.14.0,0.3.7,1.9.5,3.21.0,3.4.2
swknyleomjsguvnbnbu5e4mjhmgsxfs5,3.4.10,1.14.0,0.3.11,1.9.5,3.13.5,3.3
syqhply3twfcqtryx7un4r3ntmus5use,3.8.7,1.14.0,0.2.17,1.9.2,3.17.1,3.4.1
szvkybqkx3jj6q464kx5q2ooyxa5dvnu,3.6.14,1.14.0,0.2.20,1.9.3,3.12.1,3.4
t4fxbb3ykuouih4fzssa7cjybt3pm6os,3.7.2,1.14.0,0.2.20,1.6.0,3.21.0,3.3
t4v66ruwpreysxcxjmym7y6hyaqtueeo,3.5.4,absent,0.2.16,1.9.4,3.13.2,3.1
t5xb5xoltal3sr6newrh7hrvr6q62mcf,3.9.0,1.14.0,0.2.18,1.8.0,3.11.3,3.4.2
t6afkydxkicjvbxkwgivu5pfvx2m7gmj,3.9.2,absent,develop,1.9.5,3.9.2,3.0.4
t7m4gpu5sogy54ikpd4th7wdd6elpwuj,3.5.3,1.14.0,0.3.6,1.9.4,master,3.4.2
taiyfvajzhkasc7zj7cbxtbxxdm6tnyq,3.8.5,1.14.0,0.2.18,1.7.4,3.18.3,3.3.1
tcg5hloahngp4nonzjsmotaan7pqqinr,3.5.4,1.14.0,0.3.14,1.7.5,3.17.3,3.3.1
tfoiqpmqv7fk24htyomjlepm67iosex5,3.8.4,absent,0.2.20,1.9.4,3.18.4,3.0.4
thpcomzf63ocqlat462xdqv2ppudv5xd,3.9.4,absent,0.3.4,1.4.3,3.14.1,3.1.1
tm7hhtds4h4ixmqamag7g66wlttm6azf,3.7.1,1.6.2,0.3.9,1.7.2,3.13.2,3.2
toyocqcmvit7w36wp3q7s4ust74yndam,3.8.4,1.14.0,0.3.4,1.9.0,3.8.2,3.3
tphptu5lrngdv4g2epjophe4xfwzz7q3,2.7.8,absent,0.2.19,1.7.4,3.10.1,3.1.2
tq5rxsqtzs7k5sc4xrbowdufftcdmbj5,3.9.6,1.14.0,0.2.19,1.8.0,3.14.1,3.4.1
tqpeho6fzqxpk3oeh5cot7lubtdxwiho,3.8.9,absent,0.3.5,1.9.5,3.19.5,3.1
tucfzdjkuj5kemllwjxaenikoacfjbev,3.8.1,1.6.2,0.3.14,1.9.0,3.16.3,3.2.1
u4bvp2owwugd74n74nnu5uvzoov5vkt6,3.9.9,absent,0.2.19,1.7.3,3.14.6,3.0.4
ucnncakhi3uzudjfhw3fjyyqhcipjn7h,3.6.14,1.14.0,0.2.18,1.6.1,3.22.1,3.4
udkdfjci6n4a6ss7jxq7gbso23oakpfj,3.6.13,1.6.2,0.3.18,1.9.2,3.8.1,3.2
ufcrq6senx6olawwjkybnmcvee2t4ysd,3.6.12,absent,0.3.13,1.7.2,3.19.4,3.1.2
uiahwmpq4zl4s4dsznjizzxflbm6q3es,3.5.1,absent,0.3.11,1.9.0,3.10.1,3.1
ujputgs22hovq2lx5q5lch5thaqruein,3.6.9,absent,0.3.5,1.7.2,master,3.1.1
ulqtr6opjq6xnd66qqfqka5ej3ltjmca,3.5.9,1.14.0,0.3.5,1.6.0,3.12.1,3.3.2
uslailj43m54rhqxqql3bjyauqr6rx4f,3.6.0,absent,0.3.4,1.9.0,3.13.2,3.1.3
utnotn6svkunjbbxsdwlyhxr3md2xush,3.8.4,1.14.0,0.3.12,1.9.2,3.15.7,3.4
uyyf7q75grnir3rlpr53uvhap62cvdfj,3.7.4,1.14.0,0.3.16,1.9.2,3.20.5,3.4.2
uzzpt6fc6mtceft3cn5yuzrmgarmpx7n,3.4.3,1.14.0,0.3.12,1.9.2,3.16.0,3.3.2
vabgjpexp4jzt3hxz5wjyxnkvjm2bdev,3.5.8,1.14.0,0.3.8,1.9.1,3.16.8,3.3.2
vdcbtocnak4kyr6g37j272g2ltecyzuh,3.6.7,1.14.0,0.3.6,1.9.1,3.10.0,3.4
vfdp752p45mg2qv5ojbb24psxj4uhscr,3.6.13,1.6.2,0.3.8,1.9.0,3.11.4,3.2.1
vgcw7m3cx67hgggnzotxpgt37vcj423e,2.7.14,absent,0.3.13,1.4.3,3.14.2,3.0.4
vhazij4kyqierxpiaub3nfx447qw5cu6,3.3.6,1.6.2,0.3.6,1.9.5,3.21.0,3.2
vjux7qvxgmkzz5ua4vvfrwucnoltzuso,3.8.5,absent,0.3.13,1.9.4,3.13.2,3.0.4
vkmggxguc54p2k4zievo2gqzwjbyuak2,3.5.7,1.6.2,0.2.16,1.9.0,3.19.2,3.2.1
vljlugg7fhab3ci64c4r2lqiespw65xm,3.5.10,1.6.2,0.2.18,1.9.1,master,3.2.1
vlmuuo64xxab22umykcv3qhe7evxrcfj,2.7.14,1.14.0,0.2.15,1.9.2,3.11.2,3.4.1
vlyjdrih7db3kxklk624inlzptbbq52n,3.8.4,absent,0.3.5,1.7.3,3.10.3,3.1.3
vnhiw3znwhhugfb3esl2p42wejusdhmv,3.5.10,1.14.0,0.3.13,1.9.0,3.11.0,3.3.2
vopeta3t53pfyy6xs4t6xzckrammj5wn,3.8.10,1.14.0,develop,1.7.2,3.17.5,3.4.2
vpdxu2agb64sk4nnpt2wsyygdp4huvx2,3.5.1,1.14.0,0.3.11,1.9.2,3.11.3,3.3.2
vpinkp76jybygtbgutcxigemsg4fpsvy,3.6.6,absent,0.2.18,1.9.1,3.11.3,3.1.2
vrkdmfihdj2umgx5zxeie76a773kj5nc,3.9.2,1.6.2,0.2.19,1.7.3,3.10.3,3.2.1
vrptbfupr5oqypa5ntn4pweym6qheap7,3.6.9,1.14.0,develop,1.7.5,3.10.3,3.4.2
vse5gmxnudhnmwi43ilizegcbboz5e6t,3.7.3,absent,0.3.17,1.9.4,master,3.1.3
w4dsatutfqde4dttgodyc3hxibc2e25f,3.6.14,1.14.0,0.3.5,1.4.3,3.21.1,3.4.2
w5ecaeq2mtuyfyjkfkfuaspfh75u7an3,3.7.9,1.6.2,0.3.7,1.7.3,3.11.0,3.2
w6kkqeh5aqa2pj7vgid7loxgtkmcjodv,3.6.11,1.6.2,0.3.8,1.7.4,3.9.2,3.2.1
weveptcrvgqqjrxk2vvkizmcjua7et4v,3.7.1,1.14.0,0.3.15,1.9.5,3.9.6,3.3.2
wf5toprrqa7zxqlf3cltixctznvjvrzy,3.7.7,absent,0.3.16,1.9.2,3.13.1,3.1.2
wf7otpsos55bj2ps44xpnpu2knwoijkw,3.8.5,absent,0.2.16,1.7.4,3.8.1,3.1.2
wg7criuutkwmmyf2oyi2crtgy45rvsqx,3.6.8,absent,0.3.18,1.7.5,3.15.7,3.1
wkut4awhhglv65uwwhop7mcrf7trorhp,3.9.9,absent,0.3.6,1.7.4,3.14.4,3.1.2
wl6xp72m34j4j66jox4ovkrrxl4fg2xf,3.5.7,absent,0.2.17,1.8.0,3.15.0,3.1
wl7aeiydb4v7j6thz5fayojjevqiezmi,3.6.14,1.14.0,0.3.9,1.6.1,3.17.5,3.4
wm4sxa6o4aghy3syu2kahr5d3hv2jx6i,3.5.9,1.14.0,0.3.14,1.9.1,3.20.5,3.3.2
wm7zpjtkkfheusgd5pwlnlxeifejovgb,3.7.8,1.14.0,0.3.6,1.6.0,3.12.0,3.3.2
wp3alpjdxvqi26rfpldrmzxf5uuiwrkg,3.7.0,absent,0.2.20,1.9.5,3.21.3,absent
wq4cy2fkljly3ausvtdmq5ejbq2to6pa,3.6.8,absent,0.2.19,1.4.3,3.14.7,3.1.2
wslo764vs3jssftbtmxkk6lnp2szv7pd,3.7.1,1.14.0,0.3.15,1.6.0,3.14.6,3.3
wsojvzlkgsumjhiuhdg52ieiexii7zoj,3.5.1,absent,0.3.18,1.7.2,3.16.5,3.1.1
wsqjxrbhrpb5uesnn2ojiv7za32lmwsy,3.6.4,absent,0.3.10,1.7.2,3.9.4,3.1
wtq4d63ky6nw4lkc5sabpxqvmzjxtxre,3.8.3,1.14.0,0.3.12,1.7.3,3.11.3,3.4
wvs3i7ennaeqpnihvvwdgfvustaw6max,3.8.6,absent,0.3.10,1.7.3,3.10.2,absent
ww5pnsymccbr77vqd2ysjf7yslceixw7,3.9.4,1.14.0,0.2.19,1.7.3,3.14.6,3.3.1
x26uj3wtpotcy32xzv6vcwsambhmqatn,3.3.6,1.14.0,0.3.6,1.9.2,3.12.2,3.3.1
x44vde5wir4g7napewmxwjffuymyogak,3.5.9,absent,0.3.4,1.7.3,3.13.2,3.0.4
x5rimliilpojz6hoxzely3r6a2fizh4z,3.5.7,1.6.2,0.2.19,1.7.5,3.19.8,3.2.1
x6vqogtxdwxmbyvtxrjaa7axnnewbgix,3.7.4,absent,0.3.11,1.9.0,3.13.3,3.1.2
x7fglfcniubzcrz3cxrg4fblni2zki35,2.7.17,absent,0.3.18,1.6.1,3.9.2,3.1.1
xa6b54cm3zcp3fxs6m74ohryeh3rajgv,3.9.9,absent,0.3.16,1.9.3,3.13.3,absent
xakwib2g4ssz75k47dcz23hrx5fc3wsb,3.5.3,1.6.2,0.3.16,1.9.5,3.15.7,3.2
xbayzof5johbxosg52qxaylwy2rup5se,3.5.4,1.14.0,0.3.11,1.7.4,3.12.1,3.4.2
xddbyqg5bt5fg5kry6ffvq2sqsi2onur,3.7.5,1.14.0,0.3.15,1.9.4,3.15.2,3.4.2
xeoelulpc5gds7s73jremkkv46uslx2l,3.8.4,absent,0.3.14,1.9.1,3.14.0,absent
xfjccjeoanqfr7ve2dnse2g3qjgkcipc,3.6.5,1.14.0,0.3.18,1.7.5,3.13.0,3.3.2
xgv4xccfgu7y3lt54hh3syjek3xwd3xo,3.6.12,1.6.2,0.2.19,1.7.5,3.19.6,3.2
xpespmswxqfmffqomhh3g5gaaiwcl7sw,3.7.10,1.14.0,0.2.18,1.8.0,3.17.4,develop
xrldoflhzetologphvuseqdpovoj3kz5,3.5.2,absent,0.3.8,1.7.3,3.13.5,3.0.4
xsele7w6urlae7wqhdx3e6xlafut2ubj,3.6.6,1.6.2,0.3.4,1.9.1,3.20.1,3.2
xsgedfm7v2xlq5pvoy76zgjjgjtoacda,3.7.8,absent,0.2.18,1.7.3,3.19.5,absent
xsutn2iid2g7xmpssnmwppiszdtpnusy,3.9.9,absent,0.3.18,1.9.5,3.22.1,absent
y5hu5woyqqqketjfkq3bz3quip66xzic,3.5.2,1.14.0,0.3.18,1.7.4,3.21.0,3.4.2
y6uv2myuflb2bzqdpxnbov43cwoghkjf,3.7.9,absent,0.3.18,1.7.3,3.16.0,3.1.3
y7mn5jjk5thgbigskwyfukqtx7wb7ato,3.5.2,1.14.0,0.3.4,1.9.5,3.18.3,3.3.1
ya62rspb3fks6apoocn4huemtbxjbymm,3.6.5,1.14.0,0.2.18,1.9.4,3.19.0,3.4.1
ye7qefonpwhsltpmuf72562diepxvmq7,3.8.1,absent,0.3.8,1.9.4,3.9.2,3.1
yev4d7ezt7eosq7jmp7ndpkmtyi4zc7w,3.6.9,absent,0.3.8,1.9.0,3.16.7,3.1.1
ygnvi7emxeaxjnt6ovgtcfdd7lzcimdn,3.9.4,absent,0.3.13,1.9.4,3.11.0,3.1
yhbrlkn2p7l7cbgxd45axbhgn7zrwyv6,3.7.4,absent,0.3.10,1.9.0,3.15.4,absent
yjuh654cl63fqai25lwbzqdh46rgfovt,3.5.10,1.6.2,0.3.6,1.9.4,3.14.4,3.2.1
ymb6767ftrhuujvyzcc65yeh3v4vqzll,3.9.9,1.14.0,0.3.7,1.9.3,3.14.7,3.4
yqpqjjnvarwpvusg5bpdoqhqnl36csox,3.8.10,1.14.0,0.2.15,1.7.5,3.8.0,3.4.1
ywwsqnx3oqxhkegkb6tms33tjxkyjul5,3.6.0,1.14.0,0.3.4,1.9.1,3.8.2,3.4
zakfk3232jjp2drmdr5unx22sovovlap,3.8.7,1.14.0,0.3.14,1.9.5,3.15.2,3.4
zens3ugfeyhp3bxebuxif4dvsvwtvd7q,3.6.1,absent,0.3.8,1.9.5,3.16.3,3.1.1
zilhs5lgfzitaun2kafvd4ihx2tf6jen,3.5.3,absent,develop,1.9.2,3.21.2,3.1.3
zlto2g3uldpqlenjasv3j4iayqbhytxh,3.5.0,absent,0.3.16,1.9.2,3.8.2,absent
zplzackinto4j4rvxhditcbtgcmq5hfs,3.7.10,absent,0.2.18,1.9.4,3.11.3,3.1.1
2ah5jnllbgh34axtqcxaqom443rgdfmr,3.2.6,absent,0.3.14,1.7.5,3.16.7,3.1
2b4dyf4pxj5dgp6nqvoztdfhtpgf5knq,2.7.10,1.14.0,0.3.16,1.9.1,3.17.1,3.4
2fqivogtlabnhjjget4u34ok74xfb5gm,3.5.1,1.14.0,0.3.13,develop,3.8.2,develop
2kk2ul5k23tnfkyps3drcvuunnhtdo5b,3.9.1,absent,0.3.17,develop,3.16.8,3.1.1
2lat2xl4lxui4m2aqekazavnelzofj75,3.8.3,1.14.0,0.3.16,master,3.11.4,3.3
2lpltdpyniwjllg565w3foiqxho3jjb6,3.6.14,1.14.0,0.2.20,1.9.6,3.20.5,3.4.1
36baayw7xzk3gfcfb3ovp4ue27zpw4ho,3.6.8,absent,0.3.15,develop,3.18.5,3.0.4
3dmobe64kwyyfiuw4afaeuhnijyylide,3.8.11,1.14.0,0.2.17,1.7.2,3.20.5,3.3.2
3mbnrfmeq6y4rtigvovl4cvgs5d4vkgu,3.7.7,1.6.2,0.2.19,develop,3.15.0,3.2.1
3qjkbdko6kf3ccpq7byacnsobskzxryt,2.7.16,1.6.2,0.3.9,1.9.3,3.17.5,3.2
3sl5hy2pmqwrc7baeadeeoyxpnz5xjiv,3.1.5,absent,0.3.7,1.7.4,3.9.4,3.1.1
3x7d4o5n7yqwq2q7uyg7o3suwzrq6urx,3.7.9,absent,0.2.17,1.9.6,3.19.8,3.1.3
4dzylmfd33bbwkad6rciwletml4zmxy6,2.7.14,absent,0.3.8,1.7.4,3.16.2,3.1.3
4qmjzupvc4rfieignzzxryl5cqy7bjh3,3.7.11,absent,0.2.15,1.7.5,3.13.5,3.1.2
4t6tg5bgnoxgqufzmh6v5tfc5rom7wl3,2.7.10,1.14.0,0.2.20,1.8.0,3.20.2,3.3
56hbbqymvyjof6cpef57r67efu5xgk3z,3.8.1,absent,0.3.16,develop,3.17.4,3.1.3
5gzsdswulquntr6qcbvuyvjbc6vis6kw,2.7.13,1.14.0,0.3.9,1.7.4,3.19.3,3.3.2
5xnq5ncpqe37fjqbt7qn7f34vowowk3n,3.1.5,1.14.0,0.2.17,1.7.4,3.14.6,3.3.1
6hiz3pu6lpxvnsryfqkfnw3rdeqlw5lf,3.6.6,1.14.0,0.3.6,master,3.15.1,3.3.2
72do2tuomr3svkjcis5inpgxy6eswv67,3.5.3,1.14.0,0.3.15,1.9.5,3.9.0,3.3.2
7apel55wzhvgb5d5t54b3p54j4qqw2np,3.1.5,absent,0.3.6,develop,3.16.6,3.1.3
7ddjpqoa53tukqmjflwqxmgupnyswwco,2.7.14,1.14.0,0.3.12,1.9.5,3.20.2,3.4
