,python-version,libfabric-version,openblas-version,phist-version,cmake-version,mpich-version
fxgrnzpyl2dwfidgmpvv6mscctzzdogj,48.0,2.0,20.0,7.0,51.0,2.0
fxuf5zectb475jcixoec7it6v3hbfc53,68.0,0.0,4.0,13.0,14.0,11.0
fyuf7wqmczukmkwhsgldmkhs6lwbyg6n,15.0,0.0,19.0,9.0,15.0,9.0
g5qublnd2dojfw6lagjllwr4k64zgyn5,30.0,1.0,10.0,5.0,13.0,5.0
gandeialsdjahjqjj5ydyq2w7d5kygwz,30.0,2.0,11.0,6.0,35.0,3.0
ghoblchfow4psralghpdvgzgcc5ekml2,50.0,0.0,10.0,13.0,81.0,10.0
gkftdkfrbsmeeezviubvvszaneha2aif,22.0,0.0,14.0,12.0,70.0,11.0
glugp2gvao4asse34zef4d3xfeo446ec,12.0,0.0,0.0,3.0,59.0,11.0
gousjmi6czmnnm33lheoqdooatchijyt,39.0,2.0,5.0,10.0,24.0,4.0
gqv5cb77drnpty5dh6gfohewsmhofoc4,29.0,2.0,14.0,4.0,73.0,3.0
gr66qckmzdyzmkgt6bmtbdfftcczu26w,16.0,0.0,16.0,13.0,76.0,12.0
gwayb3xnooxtkczv7q3ke6acdrjwkblx,30.0,0.0,6.0,7.0,38.0,10.0
gwu2molkznw55nso5ey4i3m4axzwug5h,37.0,2.0,14.0,12.0,18.0,3.0
gxf265eg2wjlpixnlcifdozy4dzsw2y5,17.0,0.0,2.0,6.0,1.0,12.0
h2yhftvwzwz3aqubwp4h3ioqiv7t4oid,61.0,0.0,8.0,2.0,33.0,10.0
h4eyxkkkkzabe3jfiev3acet7l7mncyv,62.0,1.0,12.0,13.0,51.0,5.0
hf3q67gdbb4r43vdsutafj6jfyxuxbfz,31.0,2.0,19.0,13.0,62.0,3.0
hgknxq52ohg2hefbuj3zomzdhr264ahi,0.0,0.0,15.0,2.0,76.0,12.0
hkm2wbihapzacfe7gkviq4dx6qzwpwev,35.0,0.0,0.0,0.0,7.0,10.0
hluluughlxa5bzvtlq746uxfgx2zulsy,19.0,2.0,2.0,13.0,56.0,1.0
hmves55dyyyj34rb4vctcrxeha5vcze3,45.0,2.0,8.0,4.0,83.0,13.0
hraljljexdtatc3o3m4qastaafnkqeqs,20.0,2.0,13.0,4.0,12.0,3.0
hrwxrcdf7uu6lrfxxgztbrv555a2xh4i,41.0,0.0,14.0,12.0,35.0,10.0
hvvlhfakjptj7enygqtwm2merz5wgmu5,49.0,0.0,6.0,13.0,78.0,10.0
hxzqsbuk3mwfnr3dz7xyon7byhwktlz7,63.0,0.0,14.0,13.0,78.0,7.0
i5snmv7qn7rah26rar6laigfavaivgp4,52.0,2.0,5.0,11.0,73.0,1.0
i5uv5jj6o64t3e5cycfh2gn2j262evwj,13.0,2.0,17.0,6.0,13.0,13.0
i7spmey52i2tikat6cp6zostgnlhbykv,16.0,0.0,4.0,6.0,51.0,12.0
ib7eypft2isvqyrsiiwfqv6poexv3hnr,28.0,1.0,15.0,4.0,68.0,6.0
idy4wgvivfv2fbunv63c5ysyjm7i7ywv,35.0,0.0,3.0,13.0,52.0,11.0
igjwgo2vk4neuq46b5vwvkysrxrufyxt,46.0,2.0,19.0,11.0,7.0,2.0
ii4yhdam44d2iypnbeufx6cl4x63la43,48.0,1.0,11.0,5.0,2.0,6.0
