,cmake-version,zfp-version
uglxwdg3y7jhdxnlyt267h7psvynaqwi,3.17.1,0.5.5
uu3xggk7ol3jaoyxa3sopdo3yqhic7i5,3.17.0,0.5.3
uughp3hbopjiod5p5jih5srug5jzhyhf,3.17.4,0.5.5
uycwnrr6vd52ybo52jgyquvu2mmyc63k,3.18.0,0.5.1
uzyk2lkwsgasqnhaaqy447nuufld7xyp,3.13.0,0.5.4
v2q2r7dzs4h3rwixznjnbmobubnxs45u,3.8.1,0.5.2
vxo4kk5ayeggt5tknnuaidw7uwjxlc7j,3.21.3,0.5.5
vyw6s6qed46mi43h7rgayywu26dx6kks,3.9.0,0.5.1
w5qt5ctnameypagxzaz5qa5spar4hqqe,3.10.2,0.5.5
w6xzdrtbvbvdrnsox7gpjo5ljeqjcixy,3.19.2,0.5.2
w74gwa5cvkgyvd6hxkneyijqlgqocfiv,3.19.5,develop
wcag4s7aabhgtocrctffn4dsjavn7eyx,3.20.4,0.5.4
win3okgwccgcf7hxmunwaeqlkqpmzwia,3.11.1,0.5.3
wju3t3ymwymyxgei5dz3lswekznbiwca,3.13.0,develop
wkxzqbltxbguesvhc3iqdiia3t4vzz2f,3.18.4,0.5.1
wx2o4pydrltcpsstoobfcf7ojxiosuez,3.19.5,0.5.3
x3ovvl2ulisoc34pztlkarca4secx3lh,3.18.5,0.5.2
xux2utqe2jw66mjypinmqv3qscbp7ao5,3.12.4,0.5.3
y7zeiuoal6mnte6uffrtxcyfhgsufiln,3.15.1,0.5.5
yd3gthil3znnotruorlf3nbpv66fpcjl,3.20.4,0.5.2
ykpswxhbmxxl633etbysp24ojuzxobss,3.15.2,0.5.1
ynq2jgsidafk3yimnxhufumb7sni7xvs,3.16.0,0.5.1
ypqods26zozjqa2gwobolflym7ydgnbs,3.16.3,develop
yufxu4q6iefxkrkepi7x42ftufbqxgdb,3.6.1,0.5.3
yuufqke3kmj6n4uibd7fqqmw4ajobano,3.12.4,0.5.2
z3cao76beqmmxfemmizifza3smcyi6yp,3.17.4,0.5.1
z5v5kx3y5hmrdhpz62dixwgoav7utbog,3.13.3,0.5.3
z6apce5j5ubxdo5uz7ekc4abhbik7xrj,3.11.1,develop
zamdjrogqro5jsujv5bljfazg2vxdghn,3.10.0,0.5.3
zb43rbutcrqkl6w47hyy74nmtrlznr7d,3.19.4,0.5.2
zo2pc5mlbj25my75gcnlexkrreuri3h5,3.7.1,0.5.3
23sw6asymd3vrfxrsfzkv2lw2t4h6m3x,3.12.4,0.5.4
24x7czl3caykpjykianusc6irgap5lbl,3.7.2,develop
2cabuxta2cq54f6osnrbnkuooojqblrg,3.16.6,0.5.5
2o3sm3a5spsrc5ygpropsmkw3q6gy3qa,3.9.2,0.5.3
2rnzooqmkvcu3gcsbx2yagcfgj7rrf36,3.6.1,develop
3d57rkbmccb3cih4xbglslusmlq3xa24,3.5.2,0.5.4
3r7xixid3xyfwtczt3tan2mqi6r6scgp,3.5.2,develop
3tbbu27aek4bs5scoexjmzrgla7evsa2,3.13.4,develop
4hok7sm73qaqxrdlpsjuhfkzi6c2hoez,3.16.2,0.5.3
4j7bem42borytijn7yccw3tst6q2vyyy,3.16.3,0.5.4
4t7vofwwdy2lizhgwzvmpp7z2vh4mvbw,3.7.1,0.5.2
4zxbzhswwdlgtzccsz4ko4bvoa3pgdtx,3.18.4,0.5.3
6olzhsyi567afu72cthbttibuj73x7d2,3.17.3,0.5.2
7ialqzolxqsj4qf7ejqkqxn2vpmhzqk3,3.15.2,develop
a7hz3qvrinsjplm7eryggrcazcs7rsb2,3.19.3,0.5.1
biq7vgvrjmvahrcvywpa6cd4gaw6nsf4,3.14.5,0.5.1
cdmpls336vcvrdvgxbhbq2iw4kl7ghcj,3.12.4,0.5.5
czdfoknycgkrghhuubrxi67drxx6dgcr,3.7.1,0.5.5
d5eabh6vm66idpzgzydyxsl3tif7ahlh,3.15.4,develop
dgdpxwcz3ja4pjomcef2hpywytowkhfc,3.8.2,develop
dz2grezwpwcwzteqjpnhowzu364xd5ty,3.11.4,0.5.1
