,mercury-version,cmake-version,boost-version
mzpjrk6aid47lptlj7zpwiwrr4crvz2p,4.0,66.0,12.0
n2uytjlfon45q4aekolldw5pwo742ysb,2.0,32.0,26.0
n2ztwvtkge3hqyhpgbt2rt2b3m5ddrs4,1.0,52.0,12.0
n3v5epkikjka53xkenqd2dzytkowntde,2.0,80.0,2.0
n4el4o2te5sfnuqt3gdtllit6cxxres3,5.0,78.0,28.0
n4kx7rsxtyg4zcx3x3wwvp6u7itgd6tr,4.0,78.0,14.0
n4svbqvv3sjnul6mnqzfjn36jfjh5txy,5.0,18.0,2.0
n4ymwabvwgsqmp3hspdpiyukwcshsd5t,4.0,43.0,19.0
n5lrlbtrdv67h4jlmwrot2w422ppeapw,4.0,37.0,17.0
n62yqpnumwnisil6urwpupxfflrkzpe2,6.0,33.0,20.0
n64c32smcfkks5ey2vjdz6cupkuc3rtp,6.0,25.0,15.0
n6wh77ezeoqoernap5mlhxgioi5t7f3v,4.0,13.0,12.0
na7tckgngjkftbg2ea3ucog7epiyrsaj,0.0,47.0,8.0
nd5lguo3mva2aqctl35qwubobaxmvrav,1.0,15.0,30.0
neb27mecstiklfpylqbrird2d6khhiai,2.0,23.0,8.0
nfdgjdt3kx4gsnygv7tp5ognwk6ueh4z,5.0,34.0,2.0
ng4nd23n4ksfm7a4o4e3mfu63obp6ps3,6.0,3.0,0.0
nmfc6yusrhflenlwgpywanlqyw4nkz5c,2.0,52.0,8.0
nnllwel4q5cik7c5n7r4nyi7b6pun7ro,4.0,17.0,19.0
norb3xcprcbusldfqv5k5e34reg3haim,5.0,36.0,6.0
nswfjb5f6tes5cslxvccp2evnlbta33g,3.0,43.0,19.0
nykutaktlsinp44t2mlwv3nv3cajopgs,1.0,33.0,3.0
nz72zfurnlslkwckgytf63uskuxyamgo,6.0,77.0,19.0
nzcygy6opb3fd3ded4wc3ljem6eqrdek,4.0,83.0,2.0
o45cka5nw6oshxfx45k4c2gr4lo6jb7a,3.0,83.0,10.0
o5sgkl4dpja3nsfvyskqlaczhk6cdi5p,4.0,22.0,8.0
o6g67uujessqtcagnb6zcbwpdpszbbov,2.0,85.0,29.0
o7ikqyt7xrn5adedvzxyovlwq2pwugcn,2.0,36.0,16.0
ocd2oxddj4o5lnorbaxnxurv72ncu6mr,2.0,61.0,23.0
ofehbjlcgn7kgpxtawitf74zkmysygzz,2.0,41.0,5.0
ofszxqcne7hg3g4jaewxkuswju5dja37,4.0,52.0,29.0
og4ql5uc5agbewhwf3zzjmni4l5e25sh,4.0,91.0,23.0
okhsu45upomsvzvqu6twc7bwcatn2qln,4.0,46.0,11.0
olrgrxgge5dwvhztagjjtvo4ssq6ui6o,4.0,65.0,0.0
omyjjmrx7gb24pnhxd35d2youjqcihuo,0.0,35.0,5.0
ontaygxtgncxb5oihjuiae2bascv63zw,0.0,34.0,12.0
oohw4pf7zbh676yaxaomwsgq7xsxgjah,1.0,69.0,27.0
oon3x7de23ao7dxfjudk6hz6ptjqhxje,6.0,31.0,11.0
oos2xvlk77ilmmn46ivhhtzxykvbkpf6,3.0,91.0,7.0
oq4nf36pmvky732o4tkbukyclcic5f4i,4.0,71.0,25.0
oyk7e6f7alsa7ltwppchlb2qwbgekuip,0.0,18.0,12.0
ozwcv7duj7gl3eqckaeiutv2uhvgp6ez,4.0,36.0,9.0
ozypnzwtvm5qdksnvjnehh5olko6wsgk,4.0,19.0,7.0
p3vvsmralzt7gabc6fbnt5o76ukpbvx3,0.0,7.0,10.0
p4ihwv3u6yf3ksfnpfqqyqyvvboptp5r,0.0,5.0,2.0
p7pf45zqd3wc4k5cpvj7it5nra6kmbc6,0.0,46.0,15.0
padwxohdxd3iih4zzqtkrn3evg3nrlua,3.0,21.0,23.0
