,cmake-version,kokkos-version
qnb5liya6hvcak536z3eglhcyq4zp4yu,3.13.4,3.0.00
qoa3son75eeogwnuviuadhsmeb4c7o2u,3.16.4,3.1.00
qsg7kmgu7wtimv4fqoqobostwzrxrgqd,3.19.8,3.1.00
qvxg577vdntdhw7kffvk57o56p3wahlm,3.15.7,3.2.00
r74msox6uruczb5cncndymiqc3lfqf7x,3.16.1,3.2.00
ri77m233xnknlffd4nhwrldv2iti5nyy,3.13.5,3.3.01
rntftk62prrr3ehsdhctg7ozqjrgh2wg,3.11.0,3.0.00
roh444kaopbnnr5nno5g32cvnxca4y5f,3.17.3,develop
rphmtczplrlzoqedukd5fx2rkegytq6u,3.19.1,3.2.00
rwzh4zlqjpr7kzqukttjxs6mklf2uycr,3.13.0,3.2.00
s3ib64myr66ndjkmvehocn5gxoz72euc,3.19.8,3.1.01
sevsvr5vmayknln3byr246iip3bd4lrr,3.13.2,3.1.00
sizdhnlehk4gykmpszxzcpgjhta6dxct,3.10.0,3.1.00
sn6pzzy2b5zij3ymu3dzznknnhjupyjp,master,3.3.01
sosy37gzh4o55ye2wdjrobjo5k24rzew,3.15.0,3.1.00
sqy3zq5mkbbuftol4zrw4mlzwv3k7sjx,3.22.1,3.4.00
sxi3pfr6zrl24ar3myqmwnasvuygouie,3.16.9,3.4.00
sy6wbob6yfkstndooskqltsvsxn2n7n2,3.19.5,3.2.00
t74vy3gtxbizurpagqa4ldzyexd2uqgj,3.19.3,develop
t7hyc46sc7bpriosoy4tt2h3dxmw633b,3.18.2,3.4.01
teih2nsavj3dwp3yyfptpapzb2yyvxr4,3.19.2,3.4.00
tfwybcyitvvl4g5haugclkqbzzdy6b3a,3.15.4,3.3.01
thchy6sqdylghxa55qtrpjetxphg22s7,3.15.2,3.1.01
tlnirxjo4rly3mduvrt6wjvj3axhhhvj,3.10.3,3.0.00
tpnm4kwa745sz2yywdc4nuz4ytxrnmfa,3.21.1,develop
u2wpqirkktxyasq5dhg6e4yriolcaout,3.18.4,3.0.00
u43m3fqbty7cujvtqvhjz3qs7zpkadlv,3.15.2,3.1.00
u4vvxwuouv6zw7tokae6pbj7xnpismmk,3.12.2,3.2.00
u67473bu2hsgfpl6t5jpub2v4gqyhkfz,3.16.8,3.3.01
u7pmctycycoljgbpbfmedrleg3g3iwv7,3.14.7,3.1.01
ugzcdbhywzyv3ivnrufsr2dtvsxtkogt,3.18.6,develop
uitmkh2fu7sybbbpdalp7og5kgbyirs4,3.19.1,3.1.01
ujw6rverxffwubskepyftws2eo33zide,3.14.5,3.3.01
ukfvexvzifimkvs6mscntesfxow7hl4c,3.13.5,3.2.00
ukq7dup2tunc2tmm5gwgyiwe6twifrqq,3.16.3,3.1.01
usoadb6wtgnorcfr54bxuojs2jjmxlpj,3.11.3,3.1.00
uw52en2ypp2f62tf3ahb24mg57blnmp3,3.14.3,3.3.01
uwkdeaunx7kmzeun37wn2uth3kylrres,3.20.3,3.1.00
vetoapua6v6e4rnpdqlrybteg2jigdjj,3.21.0,3.2.00
vg32wfyittgqknayc5tpwvlts53nxma5,3.13.3,3.1.01
vivfwfn6y3qkb2cnm6jvkkjr5nmprude,3.14.0,3.0.00
vl5r4d4gze4ds7irj4wetvd36c63iixk,3.15.2,3.0.00
vnyx5yvwxteytzvaeqmuq6ugbsbwssbg,3.11.4,3.2.00
vqem6jofqokvs6v5intqfoul6erj7grt,3.16.0,3.1.00
vrrmfkhgmissy5hfzpmrmi6f3ui35hr3,3.15.4,3.0.00
vv2li3z5hjealf27son7t3iqkjw4cz4r,3.18.0,3.4.01
vw7t6pdg3n55xjqqgdp7usrn5vnieomk,3.21.3,master
w4qmumympvxqs4czw7y3dq3jbfgmqfqq,3.21.2,3.1.01
w6466adzvbbcoxsyw4f2sk5y7purnwnm,3.13.0,3.1.01
wbvkr3bud44yp5232uoj7ritarh4lb7h,3.20.4,develop
wfsbqsp2ci5c5pyud4z2k2adzq2x7kdn,3.20.4,master
wifh2atgddycvk4gyrm3twguixhcln5y,3.16.4,3.0.00
wlrxaxzyzh7qeim2gm4jrydhb4ckgtie,3.16.0,3.0.00
wrxe35usmknxo5uqnuzapinzcjhztip7,3.10.2,3.1.00
wz3gu3y7qrpy2ckv6bn7jzzdkfos3ybq,3.13.3,3.3.01
x4fc2tirtpqycqoalitlr7utvtrotxir,3.19.6,master
x5ce7qt5degh4txmti6rbbf5lnd52eds,3.16.8,develop
x7bzb4yru5v5v2mjhdznqfynhrvenxoz,3.20.0,3.4.01
xgeliq7ekkysgpngozsj6zpemgf5kjwa,3.20.2,3.2.00
xiqbrnkduashjeakgrpkj7rhlyp7qang,3.14.0,3.1.00
xkegoci7yooq5cn355exduhwqr3ulmvl,3.19.6,3.2.00
xl43astlqskv4gem5ld34xh7cscdqkhw,3.15.6,3.1.00
xldr4lpoxqhz2nfci7yqwdl7kp4mqwyd,3.18.5,3.1.01
xliutrqbdp2modbv5qny24qisopesnv5,3.11.4,3.0.00
xoz3y3esirbqvcxgray3uhzq6lnrk2cy,3.18.5,3.0.00
xpwtaycl4usbz6xmvy3o4j2jyn3524z5,3.18.1,3.2.00
xv2pylvtys3fqvvxui5f5s5x4ebnshtp,3.17.4,3.0.00
xvejpb3ofobyn5mmfzuopaeljj2cm5wi,3.11.0,3.1.00
xx6idvpyqrfaywdyabhockg72zze5ilz,3.19.7,master
