,kokkos-kernels-version,cmake-version,kokkos-version
npz7o7gfgdqwaa7gthutbb7avwaajjwq,3.4.01,3.19.1,3.4.01
nsufephjgnddoyop3ynxkaw5oe55zpb7,3.0.00,3.21.1,3.1.00
nwqnvc5h37oiehmpy6y7bqn7apaor7vf,3.1.00,3.13.0,3.0.00
o3dmoaaby4a5pvns6wexgh3qimiwyk7r,3.0.00,3.15.3,3.2.00
o56alpsplepcfzonn7ee3ps3uq3gmchu,3.2.00,3.20.1,3.0.00
o7uiqm7z4tucqb55loyqbtpdlgbg3bp5,3.2.00,3.19.8,3.1.01
oayziyxpckklsiq36cltshxzw7vwohyt,3.0.00,3.22.1,3.4.00
otu43gm4nkronowjgronkmtghvn3p347,3.1.00,3.17.5,3.1.00
oxywbolf4dp2mzillhxjqkcgvqt4ch65,3.4.01,3.19.5,master
ozrdxikjvxe2ltpjecax7xx4tsddkg3a,3.0.00,3.12.3,3.1.01
pa7gsh22rf4p446rehhmpcu4y2hinh6w,3.1.00,3.19.1,3.0.00
pbylgjxr5vnkbauhvsogxcjn3vn3hwhw,3.1.00,3.15.6,3.1.01
plflmmvwa6gejfsun4zqjqn6t27tb73w,3.1.00,3.16.3,3.3.01
plmap7m2jrtso6ckritlb7qppndqhjoi,3.2.00,3.19.6,3.3.01
pzssdrharnwo2uk7ijca2mkta5tk6vbv,3.1.00,3.20.3,3.4.01
qa2rafowqliye7bplbdlpiez4wfcgswl,3.4.01,3.20.1,3.0.00
qfhdv4hbxqhxze7g6lqpdli7nbeklhdu,3.4.01,3.18.2,3.3.01
qucyzjllru6b4wssfe5v52g6wykcqvz2,3.4.01,3.19.2,3.4.01
r36c2cq532cyfqhseihvomh3kfrgdugw,3.0.00,3.12.2,3.1.01
r6cyjktvorlihfaw5lrmzvwkqimsjrct,3.0.00,3.15.5,3.2.00
rdip5idm67ds6fiqvhq2nlw4k5jvgk2r,3.2.00,3.16.5,3.4.00
redli3jpoizk6bsrndgpbfhjw6dct6a6,3.0.00,3.18.4,3.4.00
relixnd7ipxwx4zs6tq7sug6xbvhwe7s,3.0.00,3.19.7,3.4.00
rkwkcgp4yy5og5cnxu22g33ixrqbqoly,3.0.00,3.16.0,master
rl3nyaxknkdf53ntcycxjgvfo3ib7pls,3.1.00,3.12.3,3.1.00
rnckjqrudnsnrfdh3kql2bnenhqjq44v,3.0.00,3.19.3,3.4.01
rndacfiqyjabaigoncxodb6gfsqfeff6,3.4.01,3.16.0,3.3.01
rodlr5rvgh45px3zg5nrv43eyv2pjjvq,3.2.00,3.20.2,3.4.00
rs7ig3aylf7fvdbbh6w3ua67qxurjqcg,3.4.01,3.21.2,3.3.01
rtnaozkltnrvv3ndyvvicrjrna4gcs7m,3.4.01,3.16.0,develop
s4m2bdzxcsgovyq7mxkmydoujrdmlbkz,3.0.00,3.21.1,develop
sdmbnfq5shwyq5g72mlpxtw3gqa6kfsa,master,3.21.1,master
slgphphbbeiqsb6mazm2simrjavnir6h,3.0.00,3.18.5,3.0.00
spcp376na2oa4azregtinalkijr5fy25,3.1.00,3.20.2,3.1.00
ssulpufalcewfkldjczp3kyvpflc2dal,develop,3.16.1,develop
t2gag2hfircqxciqceyyno4j6c3b3cen,3.0.00,3.19.8,3.1.01
t45rtaxrnsge73h725t3exiqb56z2ap7,3.0.00,3.16.0,3.4.00
tmvxzkbvlo5kv7mpwk3vanrcbhrczgv5,develop,3.19.2,develop
tnlpubi2afjjeu4bhzgn6sop7ilipt5d,3.4.01,3.15.7,3.1.00
toen6y7m5kulp6s33w3mstcqmsvfwaiq,3.2.00,3.19.6,master
tplw2ptgy2ld74mkj42l23lfbw63uc2a,3.4.01,3.18.0,3.0.00
tppap6p7eqx6oobd7u7pxy7sipi2f7qs,3.1.00,3.15.3,3.1.00
tpy4qjboa32sbmpyqwvevtjtx43kpvyb,3.1.00,3.19.7,3.1.00
tsv7lc2yw6wghpfukddti74vhgkqcdy7,3.4.01,3.13.1,3.1.01
tyikadrgxzmkjpcarhuz3kgcfd25r3rw,3.1.00,3.13.5,3.3.01
u237iu4aqb4yh7crkfxx3ysall4apm6c,3.4.01,3.16.1,3.1.01
u5p3dwooheroyocsa64wcpnkr7f4nkum,3.1.00,3.14.3,3.0.00
u7zeewte2r2lt2x7zqdepxdayyva6nex,3.2.00,3.13.0,3.2.00
uadbv5idkuf6sz37gj4klxms33qawynt,master,3.17.3,master
ucztzl53okzlx4v6yorhwkmwxix76rfy,3.2.00,3.18.1,3.4.01
udd7lolvhjte37gho7bhysczqathxwby,3.4.01,3.18.1,3.4.00
uhxt4lyqxpefazhvts6hxktmnynhpz7t,3.4.01,3.13.0,3.1.01
ui7mnhk52qz4oimjy6xdr5iegctruzqw,3.0.00,3.19.7,3.4.01
ujqc7j2i7hsq34n53zvicbiumwynzfxn,3.0.00,3.20.4,3.1.01
umvk5javmaokxp2okpf44qvjbw42ne2p,3.4.01,3.18.1,3.1.01
uwnf7ndxlydfivt57eyzqa3zte7jl2i2,3.1.00,3.18.3,3.1.01
v2gcbqv7kdyxl3izx25vaue4rtcmntne,3.4.01,3.11.1,3.2.00
v3oob4qunapaay3i72msz67yl3zy5vyf,develop,3.20.5,develop
vhu5s4asfc4oxyrsqarlqohdbt7gnuii,3.2.00,3.18.5,3.1.00
vjbmreivuxzd3btofpnrqeutp74qjlgw,3.1.00,3.14.0,3.0.00
vlm5m7zth7gsydhwkuvgkosml22zbi6y,3.1.00,3.20.2,3.3.01
vncbhmfyzaruq5rkn6vh6t44iveeklsb,3.0.00,3.19.5,3.3.01
vnnnmn3ahbn4gzg5wv3py424q3fdivx7,3.4.01,3.16.1,3.0.00
w6pnmyoutw62ho52m7pximnk3w2bdndp,master,3.17.4,master
w76mbzs7v4if65hrtpj7lljg4hdbad7r,3.0.00,3.20.4,3.3.01
w7oui6tscpe6nhvpkjfimopdgkemsr3t,3.4.01,3.13.5,3.0.00
waaa2zvix5q46kftqhj7sskjbakaqkbd,3.1.00,3.18.1,3.1.00
wadk5fvwvz3pqht5ticx2zjsh7gqtswt,develop,3.16.4,develop
wbqlrqhgxobvoaubzxchr7spebmb5hgq,3.2.00,3.18.4,3.4.01
wedemrypa4ttk6eoxviyocm44c3aql46,3.0.00,master,develop
wgx3stra6nktyjwiratokpy3c4i55c3l,3.0.00,3.12.1,3.2.00
wuwhfdiiuanlenvuz3jfu233m2xt2q3f,3.0.00,3.11.0,3.3.01
wymixjdpfk4emdvkeioaiie6ioddyml2,3.4.01,3.15.6,3.2.00
wyzl423ell2mnbyvaswq26guffki4vze,3.1.00,3.19.4,3.3.01
x36e4vxitxyxgw2bbkxf3p7awzlrcsct,3.0.00,3.17.1,3.0.00
x77vyso5kzpossszejvd5namylxgek6m,3.2.00,3.19.2,3.4.01
xld55nu4moovgfsbzm3vrr7uty6hwj6a,3.4.01,3.12.4,3.1.01
xnauacbkm5p6iwdact6fgd6pgscxrwrl,develop,3.20.3,develop
xop25ackfvb52licdj2suapvcltmw6on,3.0.00,3.11.4,3.3.01
xsxdqnjok2tl7ssoo2ojb4s4jpo6bavk,3.4.01,3.20.2,3.0.00
xutvaqbgzyfz5ip4jfhsnh5dzenx3tfz,3.1.00,3.10.0,3.2.00
y4b6kbe4cp4wty54gh3j7wnxzhv6r52f,3.0.00,3.21.3,3.4.00
y6hqd7csus6fjoaxj6ob26tlkrw4bcxu,3.0.00,3.22.1,3.1.01
yj3je4vq3hg2byhityjp6ixtrjfuvsbz,3.0.00,3.14.6,3.2.00
yma65pxmyuyi2hffxkhuleusratnmjkm,3.4.01,3.17.1,3.4.01
yoedvnqrbwd2vxhlod34vzgk52woq4za,3.4.01,3.20.5,3.1.00
ypzz2vj2ddqrnhdzv2552yakvex4ymva,3.4.01,3.22.1,3.2.00
yuocvr4tvzhjhy4unfuc72xnzi4hsh4m,3.4.01,3.11.2,3.2.00
yvh6yafk5gz2ualqfje5tfssx7hmvh6n,3.4.01,3.17.0,3.1.01
