,libfabric-version,pumi-version,cmake-version,mpich-version
erephayimsp7chhfv4cclu7znsn2ihwy,0.0,5.0,80.0,9.0
esaipqwyqw3v6ebhpnegk6g57lanxc2x,0.0,7.0,4.0,13.0
esfbu5m6potfhacjy4vmksqh5kx6b6sh,0.0,4.0,46.0,12.0
etusjh5c2zn3qgiydv5dpiurj3tb3hlt,0.0,7.0,56.0,12.0
eutgistfa6xucpexfx6fxswi6mmk2574,1.0,1.0,82.0,6.0
evgkujd2sgguljnwvzsjzpzknqkqxgc3,2.0,4.0,7.0,1.0
exb7xu6qlyglc32jhq37hckxsezcrcfq,0.0,3.0,59.0,12.0
exew3kaymtqut6j3ccgcfy2i36updrww,2.0,5.0,24.0,0.0
exfxqqcs2ggkgekejebpmspkctz22fpy,0.0,8.0,13.0,10.0
eya2fbndjrxsph6pwggcvb3lhqrd5etz,0.0,5.0,1.0,13.0
eycrnypuf6awh6bypplfrnaj3rayon7k,2.0,8.0,71.0,1.0
ezvlehawlbcmsywql5bijrpbtykguff2,2.0,4.0,2.0,0.0
f3qn463yjewzfsbetegtd6rqiv6ei7cs,1.0,0.0,94.0,7.0
f4bqxtovb3hjqyq3qeym6yighlfz57rq,0.0,5.0,57.0,13.0
f6obuxeq3txzs4ssr352tj4bxjjikmbk,2.0,5.0,64.0,14.0
