,jobid,unmatched_at,total_subsystems,max_percent_matched
898,faihnevvuwg2mwlj2otfumhjfzyq4qry,20,36,0.5555555555555556
899,fibs2smlkl76jgtj7wniirzoivnfrmb6,12,26,0.46153846153846156
900,fra57ia6ade6n7pny2b737u2lr63broc,13,26,0.5
901,un6uabur233ojx2732ntcn4o5kflignr,13,25,0.52
902,ht53aisiwurn2rkm4bfkk22pmale7cmr,16,34,0.47058823529411764
903,r4z4gzd57m6fqrut22eaiwldk7lcep3t,17,25,0.68
904,qjr3jgv6fe4t2qdtmtallwpq36543hiv,16,23,0.6956521739130435
905,umbbsxacgtpgyb6wv4o6evkezwxsng6z,24,35,0.6857142857142857
906,ywqku73rofo6nanjf7weu2sjx4khrhl3,16,22,0.7272727272727273
907,2bdvy6ronoipsof5uvbivubapwbaiyvc,15,50,0.3
908,l6rqminsepcd67vmhpdojy7paq3fbszb,13,26,0.5
909,7u7ekaqzokdiac5benqe6cpynp3rkgsj,13,26,0.5
910,zq37g6mxmwfbtn3zx22yw6pmrebzlgwf,12,26,0.46153846153846156
911,o5bau7mvng3t5tpm5ztzvibzykmbepdv,16,51,0.3137254901960784
912,voadiq3yv4vmftpxdqv2zve7xfeuoihb,17,24,0.7083333333333334
913,srjstpdfmujavoiswt7bvb7py4oi3bog,19,27,0.7037037037037037
914,z3pkdndvydfnkqyro3sbnfyezgz4lhna,15,34,0.4411764705882353
915,7ubq7lrbmhlwrhpxl4ysos6okom3q5eb,10,25,0.4
916,qv36h2sumdq6mwjyu2ss76qmchjaxvap,17,51,0.3333333333333333
917,lk4stfqb52ouktzqgrit2q455qaxm2pu,12,26,0.46153846153846156
918,oqfjlzje4n6h5xcqkstla2iu3zu3rjix,16,34,0.47058823529411764
919,yg4uh46vi7ndkwcnjsj24o3d7nzevqku,12,26,0.46153846153846156
920,bqpdrgj5pf7dpxam4ccxpfv5rhm6bw6i,18,52,0.34615384615384615
921,mda5lo5yp2javwmgnlji3eekoy272vya,16,22,0.7272727272727273
922,ilqw6ydjpwjgatah3nd5udsj6abasrc3,19,51,0.37254901960784315
923,wlhk3wyqnbpzcllhbbp4dfidwcqaroai,13,26,0.5
924,ika7bydod3obtddevai6462e34vmnhku,11,25,0.44
925,4nyx44ybmrpyn7wmpiohpwfpdfnyjzlt,19,51,0.37254901960784315
926,yjssprkgm6qdm52l5wc62xl6dc7koidg,19,51,0.37254901960784315
927,3fdewzrscebwfbo4yy6qwll7r5fr7mwc,14,27,0.5185185185185185
928,325hl66kljjtuxb7imx2obzy7hqunaxd,12,26,0.46153846153846156
929,zqifgagou6hkogtcqdtrwcsa3xwduzok,20,51,0.39215686274509803
930,yutyhfmjt56gresootpqfs3jwwhqaf2q,16,23,0.6956521739130435
931,f6fxfwy4xng3jb6jo2ihhrolqepxbohm,14,26,0.5384615384615384
932,jujmgbc6fafogbw77b752qzrz4czgwat,10,25,0.4
933,lblvq2snb75yke6563hbhzolqo4lhmyd,18,26,0.6923076923076923
934,7745i6pragunxikjmmojvzmhmyeopcjw,20,51,0.39215686274509803
935,uw5whbve3k3h2bq5mnmiw7rhx2s2pok2,20,51,0.39215686274509803
936,6pdcqibhcjavnfvhrp4kslwus24qzdnh,11,24,0.4583333333333333
937,h6hh7cbrgasfsty4xwp4gxgx2sktmv7z,16,24,0.6666666666666666
938,ftfcg7fzjoomg73olfv2rd5h72ktnbfz,16,27,0.5925925925925926
939,loew4w5tvubhb5nz2qu673m7c7sgycex,12,24,0.5
940,eb4kxq3flu2fsum56gjws3z3oamwrlzl,21,50,0.42
941,okitcxpqxgqny2b6ei37e4nchufugmq4,17,26,0.6538461538461539
942,mnzf3xrrgecewdlr4sztfnacqrpyjjxf,22,51,0.43137254901960786
943,kg5g3w45daxef4gb3mzuv6bnxbo4g6cx,23,51,0.45098039215686275
944,3dybrcl63uybqlx6d7a547mkb7zthgj6,23,51,0.45098039215686275
945,4ywg62ttw7dkzklzodjvsygd5yoo433c,13,23,0.5652173913043478
946,dsgdu4rw3miyc7d3wic33rsfvkhex77e,15,27,0.5555555555555556
947,yvfqke4pokvdiz3ukfes435vydmh275k,24,52,0.46153846153846156
948,mpbebssoynt2d5sog4eyr77xhk2m5iam,21,51,0.4117647058823529
949,46qkp33i6gvzudvcrc2nngfvj5qzgocq,17,35,0.4857142857142857
950,7motc2boy2apxrapjvspm7a7hqeomhip,21,50,0.42
951,k2bjd7hx26fna4s45njd3fpg47kumi2q,16,26,0.6153846153846154
952,4mkhq6u7mu5yr4veihruysgs6z5sxxxu,13,26,0.5
953,vf3elzmjefmwcga7o4c3u67iiriryaot,16,22,0.7272727272727273
954,kmwh7avdnn7jvfq47ipjwitncs3rwfk3,16,23,0.6956521739130435
955,6vwwdvzrplemkoj4rpebddjnljaf4fpm,12,24,0.5
956,fzanr3ywqayhuedwyol64pbpf5k6olsx,13,26,0.5
957,6rmaz2moacebc7xnsogtlimd4tgqcbnz,15,26,0.5769230769230769
958,lxj6thlgauu4ywstmlmldwzrb5rffufm,18,26,0.6923076923076923
959,ftgci6kmerkfcbpnoboebfdb2cmqqsda,14,27,0.5185185185185185
960,dc6tzb2jysnhojqkib7oxhf7z7bpqtg3,11,26,0.4230769230769231
961,a2nnul6off7wfihkjgwneuyvcbbtrhzm,14,24,0.5833333333333334
962,2ffymc25rb5ctvcdnydof4dvuciame6o,22,51,0.43137254901960786
963,inytu2ojslbm6lrpvyq7f3r4wwz3y5ei,12,24,0.5
964,225mtrqy24bbgvgqjqlhktujfdg3xybe,22,51,0.43137254901960786
965,45uxpq3bkyjbzoc4qy7nkpnivuotphkq,13,23,0.5652173913043478
966,y3hjzw2smmtbk6iumog3qo6zy73jqsde,14,23,0.6086956521739131
967,o644ptjsoqbll4b5t7woepk4y3u3cogk,15,26,0.5769230769230769
968,llqkhbezywvo5lxkvqrikybaajr64gad,13,26,0.5
969,7aky4sgxbz4z2wogpkrplntz6dp7duhz,17,23,0.7391304347826086
970,j7rdrn36a2lcxdmyqjtq75jil3tbrw5e,11,25,0.44
971,qtmjyzklp7dusgcbqeeybcengni2bsli,13,26,0.5
972,rsr722xywpjw6nbqh563gvpkupvtwdtd,15,27,0.5555555555555556
973,xyqx3pw2fwcb6okzsghxi7id74xvd2hh,16,34,0.47058823529411764
974,tdacaoe7difnv5qmjqozgxr4yfl5aad4,13,25,0.52
975,4gchxewsdhb43h4rjdskhgwl6ssqfq64,12,25,0.48
976,r7zecmwfhqlomjjnjyfii6mnzkynymh2,14,26,0.5384615384615384
